time,value
00:00:00,70
00:01:00,69
00:02:00,69
00:03:00,69
00:04:00,68
00:05:00,68
00:06:00,69
00:07:00,69
00:08:00,70
00:09:00,70
00:10:00,71
00:11:00,74
00:12:00,76
00:13:00,72
00:14:00,72
00:15:00,71
00:16:00,70
00:17:00,70
00:18:00,70
00:19:00,70
00:20:00,71
00:21:00,72
00:22:00,72
00:23:00,72
00:24:00,69
00:25:00,69
00:26:00,70
00:27:00,70
00:28:00,70
00:29:00,70
00:30:00,71
00:31:00,68
00:32:00,66
00:33:00,69
00:34:00,69
00:35:00,67
00:36:00,65
00:37:00,65
00:38:00,65
00:39:00,64
00:40:00,67
00:41:00,65
00:42:00,64
00:43:00,61
00:44:00,62
00:45:00,64
00:46:00,62
00:47:00,60
00:48:00,72
00:49:00,76
00:50:00,76
00:51:00,77
00:52:00,75
00:53:00,72
00:54:00,71
00:55:00,72
00:56:00,70
00:57:00,68
00:58:00,67
00:59:00,67
01:00:00,66
01:01:00,65
01:02:00,64
01:03:00,64
01:04:00,64
01:05:00,63
01:06:00,64
01:07:00,65
01:08:00,65
01:09:00,64
01:10:00,65
01:11:00,65
01:12:00,68
01:13:00,70
01:14:00,70
01:15:00,69
01:16:00,68
01:17:00,68
01:18:00,68
01:19:00,68
01:20:00,68
01:21:00,68
01:22:00,68
01:23:00,69
01:24:00,70
01:25:00,70
01:26:00,69
01:27:00,70
01:28:00,70
01:29:00,69
01:30:00,68
01:31:00,69
01:32:00,70
01:33:00,70
01:34:00,68
01:35:00,69
01:36:00,69
01:37:00,68
01:38:00,69
01:39:00,70
01:40:00,69
01:41:00,69
01:42:00,69
01:43:00,70
01:44:00,69
01:45:00,70
01:46:00,69
01:47:00,69
01:48:00,68
01:49:00,69
01:50:00,70
01:51:00,70
01:52:00,71
01:53:00,71
01:54:00,69
01:55:00,67
01:56:00,66
01:57:00,65
01:58:00,67
01:59:00,67
02:00:00,67
02:01:00,66
02:02:00,67
02:03:00,67
02:04:00,67
02:05:00,68
02:06:00,67
02:07:00,67
02:08:00,66
02:09:00,64
02:10:00,65
02:11:00,65
02:12:00,64
02:13:00,65
02:14:00,65
02:15:00,65
02:16:00,65
02:17:00,65
02:18:00,65
02:19:00,65
02:20:00,63
02:21:00,65
02:22:00,63
02:23:00,60
02:24:00,63
02:25:00,65
02:26:00,64
02:27:00,66
02:28:00,62
02:29:00,65
02:30:00,66
02:31:00,67
02:32:00,68
02:33:00,69
02:34:00,67
02:35:00,68
02:36:00,66
02:37:00,66
02:38:00,67
02:39:00,67
02:40:00,65
02:41:00,66
02:42:00,67
02:43:00,67
02:44:00,66
02:45:00,64
02:46:00,66
02:47:00,68
02:48:00,68
02:49:00,68
02:50:00,68
02:51:00,69
02:52:00,69
02:53:00,66
02:54:00,66
02:55:00,66
02:56:00,65
02:57:00,66
02:58:00,66
02:59:00,65
03:00:00,65
03:01:00,66
03:02:00,68
03:03:00,68
03:04:00,67
03:05:00,65
03:06:00,63
03:07:00,64
03:08:00,64
03:09:00,62
03:10:00,62
03:11:00,63
03:12:00,62
03:13:00,64
03:14:00,64
03:15:00,62
03:16:00,62
03:17:00,63
03:18:00,65
03:19:00,65
03:20:00,64
03:21:00,64
03:22:00,65
03:23:00,65
03:24:00,65
03:25:00,65
03:26:00,66
03:27:00,64
03:28:00,62
03:29:00,63
03:30:00,65
03:31:00,66
03:32:00,66
03:33:00,65
03:34:00,65
03:35:00,66
03:36:00,66
03:37:00,65
03:38:00,65
03:39:00,67
03:40:00,69
03:41:00,69
03:42:00,69
03:43:00,68
03:44:00,68
03:45:00,67
03:46:00,67
03:47:00,67
03:48:00,68
03:49:00,67
03:50:00,66
03:51:00,66
03:52:00,66
03:53:00,66
03:54:00,66
03:55:00,67
03:56:00,66
03:57:00,67
03:58:00,67
03:59:00,66
04:00:00,67
04:01:00,66
04:02:00,65
04:03:00,64
04:04:00,66
04:05:00,65
04:06:00,64
04:07:00,67
04:08:00,64
04:09:00,65
04:10:00,65
04:11:00,64
04:12:00,64
04:13:00,63
04:14:00,64
04:15:00,63
04:16:00,62
04:17:00,62
04:18:00,65
04:19:00,62
04:20:00,61
04:21:00,61
04:22:00,61
04:23:00,62
04:24:00,62
04:25:00,63
04:26:00,62
04:27:00,62
04:28:00,62
04:29:00,62
04:30:00,61
04:31:00,61
04:32:00,62
04:33:00,62
04:34:00,62
04:35:00,61
04:36:00,62
04:37:00,62
04:38:00,62
04:39:00,62
04:40:00,62
04:41:00,62
04:42:00,62
04:43:00,63
04:44:00,63
04:45:00,63
04:46:00,63
04:47:00,64
04:48:00,63
04:49:00,62
04:50:00,58
04:51:00,61
04:52:00,61
04:53:00,62
04:54:00,61
04:55:00,62
04:56:00,65
04:57:00,63
04:58:00,65
04:59:00,65
05:00:00,68
05:01:00,67
05:02:00,65
05:03:00,63
05:04:00,64
05:05:00,63
05:06:00,67
05:07:00,68
05:08:00,66
05:09:00,67
05:10:00,62
05:11:00,66
05:12:00,67
05:13:00,64
05:14:00,64
05:15:00,63
05:16:00,65
05:17:00,65
05:18:00,65
05:19:00,64
05:20:00,66
05:21:00,68
05:22:00,66
05:23:00,64
05:24:00,66
05:25:00,66
05:26:00,65
05:27:00,66
05:28:00,67
05:29:00,67
05:30:00,64
05:31:00,65
05:32:00,62
05:33:00,65
05:34:00,64
